team1,team2,winner,margin,ground,venue
Bangladesh,India,India,87 runs,Shere Bangla National Stadium, Dhaka
New Zealand,Kenya,New Zealand,10 wkts,MA Chidambaram Stadium, Chennai
Sri Lanka,Canada,Sri Lanka,210 runs,Mahinda Rajapaksa International Stadium, Hambantota
Australia,Zimbabwe,Australia,91 runs,Narendra Modi Stadium, Ahmedabad
England,Netherlands,England,6 wkts,Vidarbha Cricket Association Stadium, Nagpur
Pakistan,Kenya,Pakistan,205 runs,Mahinda Rajapaksa International Stadium, Hambantota
South Africa,West Indies,South Africa,7 wkts,Arun Jaitley Stadium, Delhi
Australia,New Zealand,Australia,7 wkts,Vidarbha Cricket Association Stadium, Nagpur
Bangladesh,Ireland,Bangladesh,27 runs,Shere Bangla National Stadium, Dhaka
Sri Lanka,Pakistan,Pakistan,11 runs,R.Premadasa Stadium, Colombo
India,England,NR,Tied,M.Chinnaswamy Stadium, Bengaluru
Zimbabwe,Canada,Zimbabwe,175 runs,Vidarbha Cricket Association Stadium, Nagpur
West Indies,Netherlands,West Indies,215 runs,Arun Jaitley Stadium, Delhi
Sri Lanka,Kenya,Sri Lanka,9 wkts,R.Premadasa Stadium, Colombo
England,Ireland,Ireland,3 wkts,M.Chinnaswamy Stadium, Bengaluru
South Africa,Netherlands,South Africa,231 runs,Punjab Cricket Association IS Bindra Stadium, Mohali
Pakistan,Canada,Pakistan,46 runs,R.Premadasa Stadium, Colombo
New Zealand,Zimbabwe,New Zealand,10 wkts,Narendra Modi Stadium, Ahmedabad
Bangladesh,West Indies,West Indies,9 wkts,Shere Bangla National Stadium, Dhaka
Sri Lanka,Australia,NR,Abandoned,R.Premadasa Stadium, Colombo
England,South Africa,England,6 runs,MA Chidambaram Stadium, Chennai
India,Ireland,India,5 wkts,M.Chinnaswamy Stadium, Bengaluru
Kenya,Canada,Canada,5 wkts,Arun Jaitley Stadium, Delhi
Pakistan,New Zealand,New Zealand,110 runs,Pallekele International Cricket Stadium, Pallekele
India,Netherlands,India,5 wkts,Arun Jaitley Stadium, Delhi
Sri Lanka,Zimbabwe,Sri Lanka,139 runs,Pallekele International Cricket Stadium, Pallekele
West Indies,Ireland,West Indies,44 runs,Punjab Cricket Association IS Bindra Stadium, Mohali
Bangladesh,England,Bangladesh,2 wkts,Zahur Ahmed Chowdhury Stadium, Chattogram
India,South Africa,South Africa,3 wkts,Vidarbha Cricket Association Stadium, Nagpur
New Zealand,Canada,New Zealand,97 runs,Wankhede Stadium, Mumbai
Australia,Kenya,Australia,60 runs,M.Chinnaswamy Stadium, Bengaluru
Bangladesh,Netherlands,Bangladesh,6 wkts,Zahur Ahmed Chowdhury Stadium, Chattogram
Pakistan,Zimbabwe,Pakistan,7 wkts,Pallekele International Cricket Stadium, Pallekele
South Africa,Ireland,South Africa,131 runs,Eden Gardens, Kolkata
Australia,Canada,Australia,7 wkts,M.Chinnaswamy Stadium, Bengaluru
England,West Indies,England,18 runs,MA Chidambaram Stadium, Chennai
Ireland,Netherlands,Ireland,6 wkts,Eden Gardens, Kolkata
Sri Lanka,New Zealand,Sri Lanka,112 runs,Wankhede Stadium, Mumbai
Bangladesh,South Africa,South Africa,206 runs,Shere Bangla National Stadium, Dhaka
Australia,Pakistan,Pakistan,4 wkts,R.Premadasa Stadium, Colombo
Zimbabwe,Kenya,Zimbabwe,161 runs,Eden Gardens, Kolkata
India,West Indies,India,80 runs,MA Chidambaram Stadium, Chennai
Pakistan,West Indies,Pakistan,10 wkts,Shere Bangla National Stadium, Dhaka
India,Australia,India,5 wkts,Narendra Modi Stadium A Ground, Ahmedabad
New Zealand,South Africa,New Zealand,49 runs,Shere Bangla National Stadium, Dhaka
Sri Lanka,England,Sri Lanka,10 wkts,R.Premadasa Stadium, Colombo
Sri Lanka,New Zealand,Sri Lanka,5 wkts,R.Premadasa Stadium, Colombo
India,Pakistan,India,29 runs,Punjab Cricket Association IS Bindra Stadium, Mohali
India,Sri Lanka,India,6 wkts,Wankhede Stadium, Mumbai
